combo_name,channels,n_channels,model_name,response_var,eval_metric,n_subjects,n_input_features_pre_corr,n_input_features_post_corr,n_dropped_corr_features,mean_train_score,mean_test_score,std_test_score,mean_baseline
perm4,"Fp2,F3,C4,T8,P8,O1",6,L2LogisticRegression,Remitter,nppv,120,83,13,70,145.88786365580776,137.22142857142856,31.030549432943584,0.5
perm3,"F7,T7,Pz,O1",4,SimpleLogisticRegression,Remitter,nppv,120,83,10,73,145.10108281676315,136.85714285714283,34.256546234837096,0.5
perm3,"F7,T7,Pz,O1",4,L2LogisticRegression,Remitter,nppv,120,83,10,73,144.37244566006476,136.25281385281386,32.57693716445478,0.5
perm3,"F7,T7,Pz,O1",4,ElasticNet,Remitter,nppv,120,83,10,73,143.84113197300783,136.1174603174603,31.923349398762582,0.5
perm4,"Fp2,F3,C4,T8,P8,O1",6,SimpleLogisticRegression,Remitter,nppv,120,83,13,70,148.0623822952981,133.98809523809524,28.281200172809864,0.5
perm4,"Fp2,F3,C4,T8,P8,O1",6,ElasticNet,Remitter,nppv,120,83,13,70,141.9096595312723,132.77936507936508,30.47023540529047,0.5
perm3,"F7,T7,Pz,O1",4,L1LogisticRegression,Remitter,nppv,120,83,10,73,142.07831647366496,130.35317460317458,32.685681708321724,0.5
perm4,"Fp2,F3,C4,T8,P8,O1",6,L1LogisticRegression,Remitter,nppv,120,83,13,70,141.8369297533813,128.2183261183261,32.013955159302846,0.5
perm3,"F7,T7,Pz,O1",4,SupportVectorClassifier,Remitter,nppv,120,83,10,73,155.07757427665584,127.97698412698409,29.82100902660873,0.5
perm4,"Fp2,F3,C4,T8,P8,O1",6,SupportVectorClassifier,Remitter,nppv,120,83,13,70,159.17506910686973,123.71471861471862,21.82827498273017,0.5
perm2,"F3,C3,T8,P3,O2",5,L1LogisticRegression,Remitter,nppv,120,83,15,68,129.66698089357388,122.05238095238096,31.78798620578851,0.5
perm1,"Fp1,FC4,T7,P4,O2",5,SimpleLogisticRegression,Remitter,nppv,120,83,13,70,139.8243025639294,120.59877344877344,29.35115773989988,0.5
perm2,"F3,C3,T8,P3,O2",5,SimpleLogisticRegression,Remitter,nppv,120,83,15,68,141.0284506649116,119.3531746031746,36.61880228999773,0.5
perm2,"F3,C3,T8,P3,O2",5,ElasticNet,Remitter,nppv,120,83,15,68,130.8614558515502,119.22979797979797,28.711406372235437,0.5
perm1,"Fp1,FC4,T7,P4,O2",5,L1LogisticRegression,Remitter,nppv,120,83,13,70,131.83343978394979,118.82020202020202,29.296472188878973,0.5
perm1,"Fp1,FC4,T7,P4,O2",5,L2LogisticRegression,Remitter,nppv,120,83,13,70,138.1798883144263,117.52012987012986,32.26991367301723,0.5
perm2,"F3,C3,T8,P3,O2",5,L2LogisticRegression,Remitter,nppv,120,83,15,68,138.17744231868994,116.5404761904762,32.899920575474226,0.5
perm1,"Fp1,FC4,T7,P4,O2",5,ElasticNet,Remitter,nppv,120,83,13,70,130.9028495483296,116.22900432900431,29.18438458613848,0.5
perm1,"Fp1,FC4,T7,P4,O2",5,SupportVectorClassifier,Remitter,nppv,120,83,13,70,142.13036952803287,107.43073593073593,24.51576122005913,0.5
perm2,"F3,C3,T8,P3,O2",5,SupportVectorClassifier,Remitter,nppv,120,83,15,68,141.42798765062557,106.67972582972583,18.376046583266376,0.5
