combo_name,channels,n_channels,model_name,response_var,eval_metric,n_subjects,n_input_features_pre_corr,n_input_features_post_corr,n_dropped_corr_features,mean_train_score,mean_test_score,std_test_score,mean_baseline
perm4,"Fp2,F3,C4,T8,P8,O1",6,L2LogisticRegression,Remitter,nppv,120,83,13,70,145.88786365580776,137.22142857142856,31.030549432943584,0.5
perm3,"F7,T7,Pz,O1",4,SimpleLogisticRegression,Remitter,nppv,120,83,10,73,145.10108281676315,136.85714285714283,34.256546234837096,0.5
perm3,"F7,T7,Pz,O1",4,L2LogisticRegression,Remitter,nppv,120,83,10,73,144.37244566006476,136.25281385281386,32.57693716445478,0.5
perm3,"F7,T7,Pz,O1",4,ElasticNet,Remitter,nppv,120,83,10,73,143.84113197300783,136.1174603174603,31.923349398762586,0.5
informed1,"F7,Cz,P8,O2",4,SimpleLogisticRegression,Remitter,nppv,120,83,11,72,142.61317968569747,134.82467532467533,27.17955971642844,0.5
perm4,"Fp2,F3,C4,T8,P8,O1",6,SimpleLogisticRegression,Remitter,nppv,120,83,13,70,148.0623822952981,133.98809523809524,28.281200172809864,0.5
informed3,"Fz,FCz,Pz,Oz",4,SimpleLogisticRegression,Remitter,nppv,120,83,8,75,137.41504594558324,133.9622655122655,32.9091337773134,0.5
perm4,"Fp2,F3,C4,T8,P8,O1",6,ElasticNet,Remitter,nppv,120,83,13,70,141.9096595312723,132.77936507936508,30.47023540529047,0.5
perm3,"F7,T7,Pz,O1",4,L1LogisticRegression,Remitter,nppv,120,83,10,73,142.07831647366496,130.35317460317458,32.685681708321724,0.5
informed2,"F8,FC4,P8,O2",4,SimpleLogisticRegression,Remitter,nppv,120,83,13,70,144.14263287412084,130.13730158730158,31.746529470304612,0.5
informed3,"Fz,FCz,Pz,Oz",4,SupportVectorClassifier,Remitter,nppv,120,83,8,75,152.78207431098758,129.91038961038964,26.64788538166798,0.5
informed1,"F7,Cz,P8,O2",4,L1LogisticRegression,Remitter,nppv,120,83,11,72,138.75178104650854,129.60440115440116,29.72355277944691,0.5
informed1,"F7,Cz,P8,O2",4,SupportVectorClassifier,Remitter,nppv,120,83,11,72,153.88953174266106,129.32113997113996,25.524682405138964,0.5
informed1,"F7,Cz,P8,O2",4,L2LogisticRegression,Remitter,nppv,120,83,11,72,139.5548138984594,129.1492784992785,26.363263251825604,0.5
informed1,"F7,Cz,P8,O2",4,ElasticNet,Remitter,nppv,120,83,11,72,136.8684488654918,128.48304473304472,27.95037622839376,0.5
informed3,"Fz,FCz,Pz,Oz",4,L1LogisticRegression,Remitter,nppv,120,83,8,75,133.32789474851958,128.31940836940836,34.086020114937654,0.5
perm4,"Fp2,F3,C4,T8,P8,O1",6,L1LogisticRegression,Remitter,nppv,120,83,13,70,141.8369297533813,128.2183261183261,32.013955159302846,0.5
perm3,"F7,T7,Pz,O1",4,SupportVectorClassifier,Remitter,nppv,120,83,10,73,155.07757427665584,127.97698412698408,29.82100902660873,0.5
informed2,"F8,FC4,P8,O2",4,L2LogisticRegression,Remitter,nppv,120,83,13,70,140.90805761265258,126.1722222222222,31.719752724445613,0.5
informed3,"Fz,FCz,Pz,Oz",4,L2LogisticRegression,Remitter,nppv,120,83,8,75,135.40802541211784,126.14956709956708,34.440281267513974,0.5
informed3,"Fz,FCz,Pz,Oz",4,ElasticNet,Remitter,nppv,120,83,8,75,132.62534537308963,126.1484126984127,35.63445832591546,0.5
informed2,"F8,FC4,P8,O2",4,ElasticNet,Remitter,nppv,120,83,13,70,134.60208812353588,123.9151515151515,33.73954458111596,0.5
perm4,"Fp2,F3,C4,T8,P8,O1",6,SupportVectorClassifier,Remitter,nppv,120,83,13,70,159.17506910686973,123.71471861471862,21.82827498273017,0.5
perm2,"F3,C3,T8,P3,O2",5,L1LogisticRegression,Remitter,nppv,120,83,15,68,129.66698089357388,122.05238095238096,31.78798620578851,0.5
informed2,"F8,FC4,P8,O2",4,L1LogisticRegression,Remitter,nppv,120,83,13,70,134.60214255363206,121.33412698412694,31.082343549012943,0.5
perm1,"Fp1,FC4,T7,P4,O2",5,SimpleLogisticRegression,Remitter,nppv,120,83,13,70,139.8243025639294,120.59877344877344,29.35115773989988,0.5
informed2,"F8,FC4,P8,O2",4,SupportVectorClassifier,Remitter,nppv,120,83,13,70,146.81500776301164,120.39249639249638,22.702221517370543,0.5
perm2,"F3,C3,T8,P3,O2",5,SimpleLogisticRegression,Remitter,nppv,120,83,15,68,141.0284506649116,119.3531746031746,36.61880228999773,0.5
perm2,"F3,C3,T8,P3,O2",5,ElasticNet,Remitter,nppv,120,83,15,68,130.8614558515502,119.22979797979797,28.71140637223544,0.5
perm1,"Fp1,FC4,T7,P4,O2",5,L1LogisticRegression,Remitter,nppv,120,83,13,70,131.8334397839498,118.82020202020202,29.296472188878973,0.5
perm1,"Fp1,FC4,T7,P4,O2",5,L2LogisticRegression,Remitter,nppv,120,83,13,70,138.1798883144263,117.52012987012986,32.26991367301723,0.5
perm2,"F3,C3,T8,P3,O2",5,L2LogisticRegression,Remitter,nppv,120,83,15,68,138.17744231868994,116.5404761904762,32.899920575474226,0.5
perm1,"Fp1,FC4,T7,P4,O2",5,ElasticNet,Remitter,nppv,120,83,13,70,130.9028495483296,116.22900432900433,29.18438458613848,0.5
perm1,"Fp1,FC4,T7,P4,O2",5,SupportVectorClassifier,Remitter,nppv,120,83,13,70,142.13036952803287,107.43073593073592,24.51576122005913,0.5
perm2,"F3,C3,T8,P3,O2",5,SupportVectorClassifier,Remitter,nppv,120,83,15,68,141.42798765062557,106.67972582972584,18.376046583266376,0.5
