combo_name,channels,n_channels,model_name,response_var,eval_metric,n_subjects,n_input_features_pre_corr,n_input_features_post_corr,n_dropped_corr_features,mean_train_score,mean_test_score,std_test_score,mean_baseline
informed3,"Fz,FCz,Pz,Oz",4,SimpleLogisticRegression,Remitter,nppv,120,83,11,72,143.2549303371641,142.2190476190476,30.411550828333773,0.5
informed1,"F7,Cz,P8,O2",4,SimpleLogisticRegression,Remitter,nppv,120,83,12,71,148.69644767108682,141.76031746031742,28.46857894947285,0.5
perm4,"Fp2,F3,C4,T8,P8,O1",6,SimpleLogisticRegression,Remitter,nppv,120,83,13,70,145.00062143448656,141.08340548340547,35.495909929120636,0.5
perm3,"F7,T7,Pz,O1",4,SimpleLogisticRegression,Remitter,nppv,120,83,11,72,146.3322050497192,140.52619047619046,33.1383538854351,0.5
informed3,"Fz,FCz,Pz,Oz",4,L2LogisticRegression,Remitter,nppv,120,83,11,72,140.84927354854995,139.61190476190475,31.000020105407213,0.5
informed1,"F7,Cz,P8,O2",4,ElasticNet,Remitter,nppv,120,83,12,71,144.06670083136797,138.49206349206347,27.580229517113874,0.5
informed3,"Fz,FCz,Pz,Oz",4,L1LogisticRegression,Remitter,nppv,120,83,11,72,140.17911174629893,138.4142857142857,33.60913110488872,0.5
informed1,"F7,Cz,P8,O2",4,L1LogisticRegression,Remitter,nppv,120,83,12,71,145.71337421910115,137.1595238095238,31.201682818527384,0.5
perm3,"F7,T7,Pz,O1",4,L1LogisticRegression,Remitter,nppv,120,83,11,72,145.71346088372914,136.9178932178932,35.57455615726871,0.5
informed1,"F7,Cz,P8,O2",4,L2LogisticRegression,Remitter,nppv,120,83,12,71,145.80060320239,136.56428571428572,30.586155148159627,0.5
informed3,"Fz,FCz,Pz,Oz",4,ElasticNet,Remitter,nppv,120,83,11,72,137.81075552342375,136.19206349206345,33.7445272477419,0.5
perm4,"Fp2,F3,C4,T8,P8,O1",6,L2LogisticRegression,Remitter,nppv,120,83,13,70,143.50527100093743,136.0595238095238,34.4658981081461,0.5
perm2,"F3,C3,T8,P3,O2",5,SimpleLogisticRegression,Remitter,nppv,120,83,14,69,145.58621923610488,135.90634920634918,31.87995003778536,0.5
perm3,"F7,T7,Pz,O1",4,L2LogisticRegression,Remitter,nppv,120,83,11,72,144.05085325259316,135.25238095238095,33.50138360503565,0.5
perm3,"F7,T7,Pz,O1",4,ElasticNet,Remitter,nppv,120,83,11,72,144.55215544860664,133.1626984126984,33.0158260359098,0.5
