source_run,combo_name,feature_subset,random_state,channels,n_features_pre_corr,n_features_post_corr,ElasticNet_train_score,L1LogisticRegression_train_score,L2LogisticRegression_train_score,SimpleLogisticRegression_train_score,SupportVectorClassifier_train_score,ElasticNet_test_score,L1LogisticRegression_test_score,L2LogisticRegression_test_score,SimpleLogisticRegression_test_score,SupportVectorClassifier_test_score
bandpower_comparison_1,all_channels,bandpower_ec_alpha,29,"Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2",29,4,125.12403403949583,126.28194221854503,129.27836250216876,133.38224370440201,130.96412137793806,100.0,100.0,100.0,150.0,133.33333333333331
bandpower_comparison_1,all_channels,bandpower_ec_alpha,58,"Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2",29,4,128.51789305419481,131.8825475498001,128.6221975023354,132.99532184849573,128.19559403298186,100.0,111.11111111111111,111.11111111111111,111.11111111111111,111.11111111111111
bandpower_comparison_1,all_channels,bandpower_ec_alpha,87,"Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2",29,4,125.57441515764316,125.57441515764316,133.50727064829488,134.62284808215043,129.46075249140225,100.0,100.0,85.71428571428571,85.71428571428571,100.0
bandpower_comparison_1,all_channels,bandpower_ec_alpha,116,"Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2",29,4,132.2637373527635,131.8489422609746,132.10131721543632,132.95802248874458,130.40531815032614,133.33333333333331,133.33333333333331,160.0,133.33333333333331,160.0
bandpower_comparison_1,all_channels,bandpower_ec_alpha,145,"Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2",29,4,134.14687092544438,134.14687092544438,137.4820673512534,137.4820673512534,131.30842125732974,88.88888888888889,88.88888888888889,75.0,75.0,100.0
bandpower_comparison_1,all_channels,bandpower_ec_alpha,174,"Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2",29,4,133.0314198882513,132.70690065748207,134.58349722208564,133.0314198882513,131.32428736730466,111.11111111111111,111.11111111111111,111.11111111111111,111.11111111111111,111.11111111111111
bandpower_comparison_1,all_channels,bandpower_ec_alpha,203,"Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2",29,4,128.52330666343315,135.17221412279258,128.52330666343315,133.55432484603364,129.66552313443813,57.14285714285714,85.71428571428571,57.14285714285714,85.71428571428571,88.88888888888889
bandpower_comparison_1,all_channels,bandpower_ec_alpha,232,"Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2",29,4,131.63905187749464,131.63905187749464,128.3241404415513,131.6912614376452,125.84439993647091,133.33333333333331,133.33333333333331,0.0,133.33333333333331,160.0
bandpower_comparison_1,all_channels,bandpower_ec_alpha,261,"Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2",29,4,135.93801481288267,135.90862558209773,135.93801481288267,135.93801481288267,129.3659783480353,100.0,100.0,100.0,100.0,100.0
bandpower_comparison_1,all_channels,bandpower_ec_alpha,290,"Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2",29,4,127.14768215335431,116.73008387230524,127.14768215335431,125.68300898713588,122.61931049894129,166.66666666666669,200.0,166.66666666666669,166.66666666666669,133.33333333333331
bandpower_comparison_1,all_channels,bandpower_ec_alpha,319,"Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2",29,4,127.2376599801973,131.09973200866926,133.9262615444531,131.2027180565217,125.99601055520262,0.0,200.0,114.28571428571428,200.0,114.28571428571428
bandpower_comparison_1,all_channels,bandpower_ec_alpha,348,"Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2",29,4,127.41760603164235,127.41760603164235,129.08223700383758,130.1772972666868,125.88437144251097,111.11111111111111,111.11111111111111,100.0,142.85714285714286,100.0
bandpower_comparison_1,all_channels,bandpower_ec_alpha,377,"Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2",29,4,124.67529062433383,134.99791060578082,130.81478221154907,134.99791060578082,127.91009741671775,114.28571428571428,111.11111111111111,100.0,111.11111111111111,100.0
bandpower_comparison_1,all_channels,bandpower_ec_alpha,406,"Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2",29,4,131.63938361624318,131.34363033009555,131.63938361624318,131.63938361624318,120.84673807646242,160.0,160.0,160.0,160.0,133.33333333333331
bandpower_comparison_1,all_channels,bandpower_ec_alpha,435,"Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2",29,4,131.67970892994336,132.80279800616796,131.67970892994336,131.75604310508314,128.90328831936515,114.28571428571428,114.28571428571428,114.28571428571428,125.0,125.0
bandpower_comparison_1,all_channels,bandpower_ec_alpha,464,"Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2",29,4,131.9545082457119,132.88868108635552,131.9545082457119,131.84216945844852,135.01039554652527,120.0,120.0,120.0,120.0,85.71428571428571
