source_run,combo_name,feature_subset,random_state,channels,n_features_pre_corr,n_features_post_corr,ElasticNet_train_score,L1LogisticRegression_train_score,L2LogisticRegression_train_score,SimpleLogisticRegression_train_score,SupportVectorClassifier_train_score,ElasticNet_test_score,L1LogisticRegression_test_score,L2LogisticRegression_test_score,SimpleLogisticRegression_test_score,SupportVectorClassifier_test_score
demographics_only_1,demographics_only,demographics_only,29,,3,3,126.28194221854503,126.28194221854503,131.07210075800546,131.3812973753416,127.73238390445871,100.0,100.0,150.0,150.0,120.0
demographics_only_1,demographics_only,demographics_only,58,,3,3,120.62711614160467,126.84042502075314,131.39927777738757,131.39927777738757,125.09487430172074,133.33333333333331,111.11111111111111,100.0,100.0,109.09090909090908
demographics_only_1,demographics_only,demographics_only,87,,3,3,130.41718719969248,125.57441515764316,131.18423265423795,134.98842389357532,127.26339094859057,100.0,100.0,100.0,85.71428571428571,85.71428571428571
demographics_only_1,demographics_only,demographics_only,116,,3,3,130.5066823299918,131.17381851325047,130.43561973920922,131.0421080319615,128.3773500110625,133.33333333333331,133.33333333333331,133.33333333333331,133.33333333333331,160.0
demographics_only_1,demographics_only,demographics_only,145,,3,3,133.95262250529794,134.08993475229016,133.95262250529794,135.44328402737364,128.1896951552419,75.0,75.0,75.0,75.0,100.0
demographics_only_1,demographics_only,demographics_only,174,,3,3,131.3953960283902,131.07087679762097,131.3953960283902,131.3953960283902,129.20912969644775,111.11111111111111,111.11111111111111,111.11111111111111,111.11111111111111,100.0
demographics_only_1,demographics_only,demographics_only,203,,3,3,132.26417755789845,130.85337985757508,134.05032467532467,132.93076109936575,130.65459170801446,75.0,75.0,75.0,85.71428571428571,75.0
demographics_only_1,demographics_only,demographics_only,232,,3,3,127.22454005667761,130.5778088190879,127.22454005667761,128.06539324840065,123.72358217892045,133.33333333333331,133.33333333333331,133.33333333333331,133.33333333333331,133.33333333333331
demographics_only_1,demographics_only,demographics_only,261,,3,3,130.7106097696673,135.07948804351605,133.4811990335246,136.43897797337507,130.07162001560863,80.0,66.66666666666666,66.66666666666666,75.0,80.0
demographics_only_1,demographics_only,demographics_only,290,,3,3,116.73008387230524,116.73008387230524,147.2940791370363,120.83113482568035,119.44654892364531,200.0,200.0,200.0,171.42857142857142,171.42857142857142
demographics_only_1,demographics_only,demographics_only,319,,3,3,128.92746153910724,128.92746153910724,128.6483030051344,128.6483030051344,124.30698477419534,160.0,160.0,160.0,160.0,114.28571428571428
demographics_only_1,demographics_only,demographics_only,348,,3,3,128.46870544274546,127.41760603164235,128.68741591389585,128.42381675945697,125.6926447520971,125.0,111.11111111111111,125.0,125.0,111.11111111111111
demographics_only_1,demographics_only,demographics_only,377,,3,3,139.74643234672305,133.18559347629116,134.9710420194651,132.85431138628812,126.58863097216233,100.0,111.11111111111111,100.0,111.11111111111111,90.9090909090909
demographics_only_1,demographics_only,demographics_only,406,,3,3,125.22463002114165,123.80567701326157,126.9927806073419,128.4703243438354,118.1020763039363,114.28571428571428,125.0,114.28571428571428,160.0,133.33333333333331
demographics_only_1,demographics_only,demographics_only,435,,3,3,131.14360515560298,128.50351181617918,129.60039728603653,129.59707950243373,125.28123221255488,100.0,100.0,114.28571428571428,125.0,125.0
demographics_only_1,demographics_only,demographics_only,464,,3,3,130.71749011057008,129.65090796367423,130.71749011057008,128.87929923168153,129.14365144645416,120.0,120.0,120.0,120.0,85.71428571428571
demographics_only_1,demographics_only,demographics_only,493,,3,3,132.6570137695777,132.8991904525977,145.5228666483246,132.8991904525977,126.45009072578233,80.0,100.0,100.0,100.0,85.71428571428571
demographics_only_1,demographics_only,demographics_only,522,,3,3,126.52285962123324,126.52285962123324,136.69739081111743,136.69739081111743,130.68607688235016,100.0,100.0,100.0,100.0,75.0
demographics_only_1,demographics_only,demographics_only,551,,3,3,127.93282158707032,127.23550753748356,130.30681410041876,127.93282158707032,122.11359162817207,125.0,125.0,133.33333333333331,125.0,133.33333333333331
demographics_only_1,demographics_only,demographics_only,580,,3,3,129.440947530271,129.87300424205816,129.440947530271,129.440947530271,122.1251546179638,114.28571428571428,114.28571428571428,114.28571428571428,114.28571428571428,100.0
