source_run,combo_name,feature_subset,random_state,channels,n_features_pre_corr,n_features_post_corr,ElasticNet_train_score,L1LogisticRegression_train_score,L2LogisticRegression_train_score,SimpleLogisticRegression_train_score,SupportVectorClassifier_train_score,ElasticNet_test_score,L1LogisticRegression_test_score,L2LogisticRegression_test_score,SimpleLogisticRegression_test_score,SupportVectorClassifier_test_score
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,29,"F7,P8,T7,O2",163,5,127.036014388447,126.28194221854503,90.4856310445291,136.38130227962128,131.446249640951,100.0,100.0,125.0,160.0,133.33333333333331
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,58,"F7,P8,T7,O2",163,5,135.15281776562847,137.24569101617197,136.48003555640975,138.0067903819225,127.31324552995743,90.9090909090909,100.0,100.0,100.0,109.09090909090908
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,87,"F7,P8,T7,O2",163,5,134.5937199692485,139.25201754422616,136.88207643881995,139.71632952142994,134.16536329119384,100.0,100.0,100.0,100.0,111.11111111111111
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,116,"F7,P8,T7,O2",163,5,133.29455362290986,133.79054444434027,133.29455362290986,133.29455362290986,125.73132277012562,150.0,160.0,150.0,150.0,171.42857142857142
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,145,"F7,P8,T7,O2",163,5,138.17593159494703,135.87841573140153,135.3734775905544,138.58495817324913,133.10413205980066,80.0,100.0,88.88888888888889,100.0,109.09090909090908
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,174,"F7,P8,T7,O2",163,5,132.31236786469344,133.07394751319427,143.0605050170453,133.3658667853404,130.88712287069913,111.11111111111111,125.0,160.0,125.0,100.0
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,203,"F7,P8,T7,O2",163,5,136.78955542834666,136.3166339474479,136.78955542834666,136.78955542834666,133.48549611463966,100.0,100.0,100.0,100.0,111.11111111111111
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,232,"F7,P8,T7,O2",163,5,132.91106608774018,126.60800578159382,129.16863574182315,128.02628482928645,127.31008620574879,66.66666666666666,66.66666666666666,100.0,200.0,166.66666666666669
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,261,"F7,P8,T7,O2",163,5,139.9290112942763,140.47605146340948,131.06844608879493,139.9290112942763,136.62056636893362,88.88888888888889,88.88888888888889,85.71428571428571,88.88888888888889,90.9090909090909
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,290,"F7,P8,T7,O2",163,5,128.2312701355711,129.85522523901685,128.2312701355711,128.8515466415683,125.6616791761648,171.42857142857142,171.42857142857142,171.42857142857142,171.42857142857142,171.42857142857142
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,319,"F7,P8,T7,O2",163,5,132.87400297905054,131.2319713465456,132.87400297905054,132.87400297905054,129.41312032948372,133.33333333333331,133.33333333333331,133.33333333333331,133.33333333333331,100.0
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,348,"F7,P8,T7,O2",163,5,134.52038176128903,134.81906901238298,134.52038176128903,134.52038176128903,131.87881971183265,125.0,125.0,125.0,125.0,111.11111111111111
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,377,"F7,P8,T7,O2",163,5,132.85926172066365,132.19551429359313,136.22638081395348,134.88470388800084,116.12176412472037,111.11111111111111,114.28571428571428,100.0,114.28571428571428,90.9090909090909
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,406,"F7,P8,T7,O2",163,5,129.24211784171337,132.41869239318453,132.7544466403162,132.7544466403162,125.35708620052438,142.85714285714286,166.66666666666669,166.66666666666669,166.66666666666669,120.0
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,435,"F7,P8,T7,O2",163,5,129.78351125169195,128.1867905481767,146.03991024122132,131.15520728008087,134.2670249715648,120.0,100.0,133.33333333333331,120.0,150.0
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,464,"F7,P8,T7,O2",163,5,136.3484273201881,132.97832980972515,134.87317952358725,132.1807178284143,135.53108280838762,100.0,100.0,114.28571428571428,100.0,75.0
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,493,"F7,P8,T7,O2",163,5,136.90706295441652,137.65199174897344,122.96147867180699,136.9272733306929,132.76558830874177,100.0,80.0,66.66666666666666,80.0,100.0
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,522,"F7,P8,T7,O2",163,5,126.1655531934451,126.52285962123324,125.89164479477287,135.694916812207,133.12424898594557,114.28571428571428,100.0,120.0,100.0,114.28571428571428
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,551,"F7,P8,T7,O2",163,5,135.77979275527304,138.53224207309108,135.77979275527304,135.77979275527304,132.55371647935908,125.0,125.0,125.0,125.0,133.33333333333331
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,580,"F7,P8,T7,O2",163,5,132.5091293484528,132.93670718816068,142.96186286353864,133.91642902797582,130.7317805945942,114.28571428571428,114.28571428571428,85.71428571428571,114.28571428571428,100.0
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,609,"F7,P8,T7,O2",163,5,135.1936067443382,136.00195874928298,135.1936067443382,135.1936067443382,134.36577626918537,133.33333333333331,133.33333333333331,133.33333333333331,133.33333333333331,100.0
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,638,"F7,P8,T7,O2",163,5,124.53384961853112,124.16914050422415,132.9406812677294,132.9406812677294,130.7232348484224,150.0,133.33333333333331,142.85714285714286,142.85714285714286,125.0
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,667,"F7,P8,T7,O2",163,5,130.730051409853,131.4197977100644,132.7310202436593,139.99396594383802,137.18828752142824,75.0,75.0,80.0,66.66666666666666,85.71428571428571
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,696,"F7,P8,T7,O2",163,5,128.42492369684336,132.83134844134995,127.82351928729943,132.83134844134995,125.92223052707885,166.66666666666669,142.85714285714286,166.66666666666669,142.85714285714286,150.0
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,725,"F7,P8,T7,O2",163,5,124.49690796048604,127.19701755085012,124.35917995025937,126.75584021640644,127.4638066366041,200.0,200.0,200.0,200.0,125.0
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,754,"F7,P8,T7,O2",163,5,132.68793942671715,133.3922986307414,132.68793942671715,132.68793942671715,126.1269450031441,166.66666666666669,166.66666666666669,166.66666666666669,166.66666666666669,150.0
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,783,"F7,P8,T7,O2",163,5,134.63003725571082,134.63003725571082,134.63003725571082,134.63003725571082,132.6982096150943,125.0,125.0,125.0,125.0,90.9090909090909
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,812,"F7,P8,T7,O2",163,5,134.75233247541132,136.15117199160878,136.16498631853014,135.3397765025672,130.90566879823433,133.33333333333331,133.33333333333331,160.0,142.85714285714286,125.0
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,841,"F7,P8,T7,O2",163,5,133.9675567747929,133.9675567747929,119.32251984522716,133.41722075088447,128.37959041195705,142.85714285714286,142.85714285714286,142.85714285714286,150.0,125.0
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,870,"F7,P8,T7,O2",163,5,131.24297012055237,135.37147745271224,130.98847695158585,132.13228631833283,131.75785696861277,142.85714285714286,125.0,142.85714285714286,125.0,125.0
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,899,"F7,P8,T7,O2",163,5,130.33805534347206,134.39534555434454,130.44403085781116,134.39534555434454,129.2268199261354,166.66666666666669,142.85714285714286,166.66666666666669,142.85714285714286,120.0
dynamix_components_1,original4ch,dynamix_mlp1_std_mean,928,"F7,P8,T7,O2",163,5,126.9397209246828,126.9265730513226,136.87508452151806,134.9560506480375,131.2874140449283,85.71428571428571,100.0,100.0,114.28571428571428,120.0
