combo_name,channels,n_channels,model_name,response_var,eval_metric,n_subjects,n_input_features_pre_corr,n_input_features_post_corr,n_dropped_corr_features,mean_train_score,mean_test_score,std_test_score,mean_baseline
occipital,"O1,Oz,O2",3,SimpleLogisticRegression,Remitter,nppv,120,83,8,75,142.2639125970242,139.14761904761906,29.871927050312117,0.5
occipital,"O1,Oz,O2",3,L1LogisticRegression,Remitter,nppv,120,83,8,75,139.4470006797941,134.9515873015873,32.76339262148441,0.5
occipital,"O1,Oz,O2",3,L2LogisticRegression,Remitter,nppv,120,83,8,75,140.16699626920666,133.1325396825397,26.617030181190664,0.5
occipital,"O1,Oz,O2",3,ElasticNet,Remitter,nppv,120,83,8,75,137.9869077615839,131.1142857142857,27.737053866956437,0.5
central,"C3,Cz,C4",3,SimpleLogisticRegression,Remitter,nppv,120,83,8,75,136.44928350654206,130.09682539682538,31.441052075367104,0.5
frontal,"F7,F3,Fz,F4,F8",5,SimpleLogisticRegression,Remitter,nppv,120,83,6,77,133.45933864678798,128.04841269841268,31.474529679067782,0.5
central,"C3,Cz,C4",3,SupportVectorClassifier,Remitter,nppv,120,83,8,75,142.97095606935957,126.79170274170274,25.260889813500558,0.5
parietal,"P7,P3,Pz,P4,P8",5,SimpleLogisticRegression,Remitter,nppv,120,83,9,74,135.24432261660382,126.77142857142859,33.01052284184183,0.5
occipital,"O1,Oz,O2",3,SupportVectorClassifier,Remitter,nppv,120,83,8,75,142.37581522620727,125.77950937950938,21.53742383253555,0.5
frontocentral,"FC3,FCz,FC4",3,SimpleLogisticRegression,Remitter,nppv,120,83,6,77,132.56118282632644,125.7436507936508,27.55523474458485,0.5
frontocentral,"FC3,FCz,FC4",3,L2LogisticRegression,Remitter,nppv,120,83,6,77,131.5101650921837,123.67893217893217,31.44916871738423,0.5
frontal,"F7,F3,Fz,F4,F8",5,L1LogisticRegression,Remitter,nppv,120,83,6,77,130.17442086627977,123.59920634920633,31.14608168790983,0.5
central,"C3,Cz,C4",3,L1LogisticRegression,Remitter,nppv,120,83,8,75,131.26531105507544,123.431746031746,32.00448192347004,0.5
central,"C3,Cz,C4",3,ElasticNet,Remitter,nppv,120,83,8,75,136.23370653489584,123.40281385281384,33.223562918801136,0.5
central,"C3,Cz,C4",3,L2LogisticRegression,Remitter,nppv,120,83,8,75,139.03838607141284,123.26587301587303,33.55990153525009,0.5
frontal,"F7,F3,Fz,F4,F8",5,ElasticNet,Remitter,nppv,120,83,6,77,131.039118295188,122.91551226551228,32.74690443289277,0.5
frontal,"F7,F3,Fz,F4,F8",5,L2LogisticRegression,Remitter,nppv,120,83,6,77,133.19811175302524,122.91190476190476,36.983690465098825,0.5
frontocentral,"FC3,FCz,FC4",3,L1LogisticRegression,Remitter,nppv,120,83,6,77,128.53541122627652,122.57063492063493,29.27009712856874,0.5
frontocentral,"FC3,FCz,FC4",3,ElasticNet,Remitter,nppv,120,83,6,77,129.11934643122794,120.72344877344877,31.813259769470445,0.5
parietal,"P7,P3,Pz,P4,P8",5,ElasticNet,Remitter,nppv,120,83,9,74,131.22294037076517,120.0916305916306,33.68181434889851,0.5
parietal,"P7,P3,Pz,P4,P8",5,L1LogisticRegression,Remitter,nppv,120,83,9,74,129.43870232033652,119.23333333333332,30.22732845852377,0.5
parietal,"P7,P3,Pz,P4,P8",5,L2LogisticRegression,Remitter,nppv,120,83,9,74,135.2033886767949,118.96904761904763,33.79087748011911,0.5
frontocentral,"FC3,FCz,FC4",3,SupportVectorClassifier,Remitter,nppv,120,83,6,77,132.03311271518842,113.84610389610388,21.832309740959435,0.5
frontal,"F7,F3,Fz,F4,F8",5,SupportVectorClassifier,Remitter,nppv,120,83,6,77,128.87452705906455,112.49025974025973,24.359948571758693,0.5
parietal,"P7,P3,Pz,P4,P8",5,SupportVectorClassifier,Remitter,nppv,120,83,9,74,136.87130677888155,105.28261183261183,21.260722440205942,0.5
