combo_name,channels,n_channels,model_name,response_var,eval_metric,n_subjects,n_input_features_pre_corr,n_input_features_post_corr,n_dropped_corr_features,mean_train_score,mean_test_score,std_test_score,mean_baseline
occipital,"O1,Oz,O2",3,SimpleLogisticRegression,Remitter,nppv,120,83,8,75,141.98264141740538,139.49999999999997,31.50828935070916,0.5
occipital,"O1,Oz,O2",3,L1LogisticRegression,Remitter,nppv,120,83,8,75,138.95456946505462,133.31507936507936,31.7132268103407,0.5
central,"C3,Cz,C4",3,SupportVectorClassifier,Remitter,nppv,120,83,8,75,146.90761965462153,132.9699134199134,25.56070039817366,0.5
occipital,"O1,Oz,O2",3,L2LogisticRegression,Remitter,nppv,120,83,8,75,138.9799252332014,132.95995670995669,30.58739858443926,0.5
central,"C3,Cz,C4",3,SimpleLogisticRegression,Remitter,nppv,120,83,8,75,140.20627547053934,132.38730158730158,30.450159766096487,0.5
central,"C3,Cz,C4",3,L1LogisticRegression,Remitter,nppv,120,83,8,75,137.9883555922089,129.6690476190476,32.77494137195362,0.5
frontal,"F7,F3,Fz,F4,F8",5,SimpleLogisticRegression,Remitter,nppv,120,83,8,75,137.5210853012402,128.4385281385281,35.06463592560007,0.5
occipital,"O1,Oz,O2",3,ElasticNet,Remitter,nppv,120,83,8,75,137.68076872576714,128.27380952380952,35.1131765785744,0.5
frontal,"F7,F3,Fz,F4,F8",5,L2LogisticRegression,Remitter,nppv,120,83,8,75,135.32429733665694,126.1631313131313,35.840789877914446,0.5
frontocentral,"FC3,FCz,FC4",3,SimpleLogisticRegression,Remitter,nppv,120,83,8,75,134.12400831458172,125.93412698412698,32.08418484994613,0.5
parietal,"P7,P3,Pz,P4,P8",5,SimpleLogisticRegression,Remitter,nppv,120,83,9,74,136.26729935009752,125.53888888888889,32.54694517286782,0.5
central,"C3,Cz,C4",3,ElasticNet,Remitter,nppv,120,83,8,75,138.86101477848555,123.26349206349205,37.06593119332114,0.5
frontocentral,"FC3,FCz,FC4",3,L1LogisticRegression,Remitter,nppv,120,83,8,75,129.160819920004,123.12222222222222,30.726781060274224,0.5
central,"C3,Cz,C4",3,L2LogisticRegression,Remitter,nppv,120,83,8,75,140.77877427228532,122.90317460317459,43.169968209425654,0.5
parietal,"P7,P3,Pz,P4,P8",5,ElasticNet,Remitter,nppv,120,83,9,74,128.0050725294817,121.2738095238095,30.57972940884312,0.5
frontal,"F7,F3,Fz,F4,F8",5,L1LogisticRegression,Remitter,nppv,120,83,8,75,133.85864044393412,121.25995670995671,32.84469105593115,0.5
frontocentral,"FC3,FCz,FC4",3,L2LogisticRegression,Remitter,nppv,120,83,8,75,132.6053825257447,121.04920634920634,35.773937097554885,0.5
parietal,"P7,P3,Pz,P4,P8",5,L1LogisticRegression,Remitter,nppv,120,83,9,74,128.14579879241293,120.85158730158727,30.376064971112562,0.5
frontocentral,"FC3,FCz,FC4",3,ElasticNet,Remitter,nppv,120,83,8,75,128.38444054873077,120.37301587301589,34.09220172847282,0.5
frontal,"F7,F3,Fz,F4,F8",5,SupportVectorClassifier,Remitter,nppv,120,83,8,75,135.1123461745081,119.24502164502167,18.723120288768666,0.5
frontocentral,"FC3,FCz,FC4",3,SupportVectorClassifier,Remitter,nppv,120,83,8,75,140.4988159948414,118.45757575757575,22.316921578134362,0.5
frontal,"F7,F3,Fz,F4,F8",5,ElasticNet,Remitter,nppv,120,83,8,75,132.44044860095136,117.16385281385281,35.50929141943578,0.5
occipital,"O1,Oz,O2",3,SupportVectorClassifier,Remitter,nppv,120,83,8,75,139.33429754443165,116.48520923520924,21.656288779254414,0.5
parietal,"P7,P3,Pz,P4,P8",5,L2LogisticRegression,Remitter,nppv,120,83,9,74,134.0879449613273,115.49329004329006,37.275909444659355,0.5
parietal,"P7,P3,Pz,P4,P8",5,SupportVectorClassifier,Remitter,nppv,120,83,9,74,135.36987035012586,108.68318903318902,20.321713229141686,0.5
